edge_id,source_node,target_node,infrastructure_type,voltage,geometry_parent_id,segment_length
edge_00000,node_0036,node_0037,substation,66000;11000,unknown,77.96
edge_00001,node_0037,node_0038,substation,66000;11000,unknown,155.39
edge_00002,node_0038,node_0039,substation,66000;11000,unknown,59.08
edge_00003,node_0039,node_0040,substation,66000;11000,unknown,35.63
edge_00004,node_0040,node_0041,substation,66000;11000,unknown,18.89
edge_00005,node_0041,node_0036,substation,66000;11000,unknown,119.75
edge_00006,node_0036,node_0042,substation,66000;11000,unknown,8.55
edge_00007,node_0182,node_0218,line,220kV,line_01,60.43
edge_00008,node_0218,node_0219,line,220kV,line_01,143.56
edge_00009,node_0219,node_0220,line,220kV,line_01,56.69
edge_00010,node_0220,node_0221,line,220kV,line_01,21.63
edge_00011,node_0221,node_0222,line,220kV,line_01,135.54
edge_00012,node_0222,node_0182,line,220kV,line_01,238.71
edge_00013,node_0223,node_0224,line,220kV,line_02,125.28
edge_00014,node_0224,node_0225,line,220kV,line_02,56.2
edge_00015,node_0225,node_0226,line,220kV,line_02,33.66
edge_00016,node_0226,node_0227,line,220kV,line_02,79.05
edge_00017,node_0227,node_0228,line,220kV,line_02,46.25
edge_00018,node_0228,node_0229,line,220kV,line_02,5.71
edge_00019,node_0229,node_0223,line,220kV,line_02,52.55
edge_00020,node_0183,node_0230,line,220kV,line_03,253.35
edge_00021,node_0230,node_0231,line,220kV,line_03,142.25
edge_00022,node_0231,node_0232,line,220kV,line_03,94.55
edge_00023,node_0232,node_0233,line,220kV,line_03,158.8
edge_00024,node_0233,node_0234,line,220kV,line_03,3.19
edge_00025,node_0234,node_0183,line,220kV,line_03,139.07
edge_00026,node_0235,node_0236,line,220kV,line_04,53.1
edge_00027,node_0236,node_0237,line,220kV,line_04,60.41
edge_00028,node_0237,node_0238,line,220kV,line_04,44.19
edge_00029,node_0238,node_0239,line,220kV,line_04,31.91
edge_00030,node_0239,node_0240,line,220kV,line_04,24.43
edge_00031,node_0240,node_0235,line,220kV,line_04,27.84
edge_00032,node_0241,node_0242,line,220kV,line_05,63.38
edge_00033,node_0242,node_0243,line,220kV,line_05,67.02
edge_00034,node_0243,node_0244,line,220kV,line_05,30.43
edge_00035,node_0244,node_0245,line,220kV,line_05,39.32
edge_00036,node_0245,node_0241,line,220kV,line_05,43.86
edge_00037,node_0184,node_0246,line,220kV,line_06,115.34
edge_00038,node_0246,node_0247,line,220kV,line_06,33.55
edge_00039,node_0247,node_0248,line,220kV,line_06,33.89
edge_00040,node_0248,node_0249,line,220kV,line_06,132.39
edge_00041,node_0249,node_0250,line,220kV,line_06,136.31
edge_00042,node_0250,node_0251,line,220kV,line_06,130.1
edge_00043,node_0251,node_0252,line,220kV,line_06,82.85
edge_00044,node_0252,node_0253,line,220kV,line_06,134.62
edge_00045,node_0253,node_0254,line,220kV,line_06,86.83
edge_00046,node_0254,node_0255,line,220kV,line_06,100.42
edge_00047,node_0255,node_0256,line,220kV,line_06,88.39
edge_00048,node_0256,node_0257,line,220kV,line_06,28.2
edge_00049,node_0257,node_0258,line,220kV,line_06,52.8
edge_00050,node_0258,node_0259,line,220kV,line_06,56.68
edge_00051,node_0259,node_0260,line,220kV,line_06,119.78
edge_00052,node_0260,node_0261,line,220kV,line_06,39.22
edge_00053,node_0261,node_0262,line,220kV,line_06,6.45
edge_00054,node_0262,node_0263,line,220kV,line_06,17.54
edge_00055,node_0263,node_0264,line,220kV,line_06,20.75
edge_00056,node_0264,node_0265,line,220kV,line_06,12.0
edge_00057,node_0265,node_0266,line,220kV,line_06,29.38
edge_00058,node_0266,node_0267,line,220kV,line_06,70.27
edge_00059,node_0267,node_0268,line,220kV,line_06,40.06
edge_00060,node_0268,node_0269,line,220kV,line_06,298.96
edge_00061,node_0269,node_0184,line,220kV,line_06,73.16
edge_00062,node_0185,node_0270,line,220kV,line_07,53.08
edge_00063,node_0270,node_0271,line,220kV,line_07,127.01
edge_00064,node_0271,node_0272,line,220kV,line_07,4.03
edge_00065,node_0272,node_0273,line,220kV,line_07,12.05
edge_00066,node_0273,node_0185,line,220kV,line_07,120.59
edge_00067,node_0274,node_0275,line,220kV,line_08,77.38
edge_00068,node_0275,node_0276,line,220kV,line_08,19.59
edge_00069,node_0276,node_0277,line,220kV,line_08,45.52
edge_00070,node_0277,node_0278,line,220kV,line_08,40.31
edge_00071,node_0278,node_0274,line,220kV,line_08,33.34
edge_00072,node_0279,node_0280,line,220kV,line_09,45.32
edge_00073,node_0280,node_0281,line,220kV,line_09,52.56
edge_00074,node_0281,node_0282,line,220kV,line_09,13.15
edge_00075,node_0282,node_0283,line,220kV,line_09,44.48
edge_00076,node_0283,node_0279,line,220kV,line_09,65.7
edge_00077,node_0284,node_0285,line,220kV,line_10,29.88
edge_00078,node_0285,node_0286,line,220kV,line_10,43.2
edge_00079,node_0286,node_0287,line,220kV,line_10,31.14
edge_00080,node_0287,node_0284,line,220kV,line_10,26.01
edge_00081,node_0186,node_0288,line,220kV,line_11,50.94
edge_00082,node_0288,node_0289,line,220kV,line_11,42.65
edge_00083,node_0289,node_0290,line,220kV,line_11,8.27
edge_00084,node_0290,node_0291,line,220kV,line_11,39.69
edge_00085,node_0291,node_0186,line,220kV,line_11,45.74
edge_00086,node_0292,node_0293,line,220kV,line_12,11.44
edge_00087,node_0293,node_0294,line,220kV,line_12,11.13
edge_00088,node_0294,node_0295,line,220kV,line_12,11.45
edge_00089,node_0295,node_0292,line,220kV,line_12,11.14
edge_00090,node_0296,node_0297,line,220kV,line_13,79.98
edge_00091,node_0297,node_0298,line,220kV,line_13,42.5
edge_00092,node_0298,node_0299,line,220kV,line_13,77.74
edge_00093,node_0299,node_0300,line,220kV,line_13,13.18
edge_00094,node_0300,node_0296,line,220kV,line_13,21.06
edge_00095,node_0187,node_0301,line,220kV,line_14,67.2
edge_00096,node_0301,node_0302,line,220kV,line_14,4.14
edge_00097,node_0302,node_0303,line,220kV,line_14,33.98
edge_00098,node_0303,node_0304,line,220kV,line_14,55.71
edge_00099,node_0304,node_0187,line,220kV,line_14,46.34
edge_00100,node_0188,node_0305,line,220kV,line_15,80.05
edge_00101,node_0305,node_0306,line,220kV,line_15,95.84
edge_00102,node_0306,node_0307,line,220kV,line_15,75.6
edge_00103,node_0307,node_0308,line,220kV,line_15,30.13
edge_00104,node_0308,node_0188,line,220kV,line_15,68.6
edge_00105,node_0189,node_0309,line,220kV,line_16,15.97
edge_00106,node_0309,node_0310,line,220kV,line_16,54.96
edge_00107,node_0310,node_0311,line,220kV,line_16,23.41
edge_00108,node_0311,node_0312,line,220kV,line_16,20.41
edge_00109,node_0312,node_0313,line,220kV,line_16,19.74
edge_00110,node_0313,node_0314,line,220kV,line_16,31.91
edge_00111,node_0314,node_0315,line,220kV,line_16,66.39
edge_00112,node_0315,node_0316,line,220kV,line_16,14.28
edge_00113,node_0316,node_0317,line,220kV,line_16,14.28
edge_00114,node_0317,node_0318,line,220kV,line_16,14.27
edge_00115,node_0318,node_0319,line,220kV,line_16,14.28
edge_00116,node_0319,node_0320,line,220kV,line_16,14.28
edge_00117,node_0320,node_0321,line,220kV,line_16,12.97
edge_00118,node_0321,node_0322,line,220kV,line_16,12.97
edge_00119,node_0322,node_0323,line,220kV,line_16,12.96
edge_00120,node_0323,node_0189,line,220kV,line_16,12.97
edge_00121,node_0190,node_0324,line,220kV,line_17,15.52
edge_00122,node_0324,node_0325,line,220kV,line_17,64.47
edge_00123,node_0325,node_0326,line,220kV,line_17,51.04
edge_00124,node_0326,node_0327,line,220kV,line_17,32.63
edge_00125,node_0327,node_0190,line,220kV,line_17,77.34
edge_00126,node_0328,node_0329,line,220kV,line_18,77.0
edge_00127,node_0329,node_0330,line,220kV,line_18,86.08
edge_00128,node_0330,node_0331,line,220kV,line_18,26.54
edge_00129,node_0331,node_0332,line,220kV,line_18,71.85
edge_00130,node_0332,node_0328,line,220kV,line_18,112.6
edge_00131,node_0333,node_0334,line,220kV,line_19,38.06
edge_00132,node_0334,node_0335,line,220kV,line_19,39.83
edge_00133,node_0335,node_0336,line,220kV,line_19,38.06
edge_00134,node_0336,node_0333,line,220kV,line_19,39.84
edge_00135,node_0337,node_0338,line,220kV,line_20,40.88
edge_00136,node_0338,node_0339,line,220kV,line_20,24.18
edge_00137,node_0339,node_0340,line,220kV,line_20,26.81
edge_00138,node_0340,node_0341,line,220kV,line_20,60.74
edge_00139,node_0341,node_0342,line,220kV,line_20,63.72
edge_00140,node_0342,node_0343,line,220kV,line_20,31.64
edge_00141,node_0343,node_0337,line,220kV,line_20,30.25
edge_00142,node_0344,node_0345,line,220kV,line_21,57.77
edge_00143,node_0345,node_0346,line,220kV,line_21,67.67
edge_00144,node_0346,node_0347,line,220kV,line_21,64.81
edge_00145,node_0347,node_0344,line,220kV,line_21,46.62
edge_00146,node_0191,node_0348,line,220kV,line_22,52.19
edge_00147,node_0348,node_0349,line,220kV,line_22,50.4
edge_00148,node_0349,node_0350,line,220kV,line_22,9.44
edge_00149,node_0350,node_0351,line,220kV,line_22,30.72
edge_00150,node_0351,node_0191,line,220kV,line_22,43.98
edge_00151,node_0192,node_0352,line,220kV,line_23,50.93
edge_00152,node_0352,node_0353,line,220kV,line_23,37.52
edge_00153,node_0353,node_0354,line,220kV,line_23,12.92
edge_00154,node_0354,node_0355,line,220kV,line_23,44.33
edge_00155,node_0355,node_0356,line,220kV,line_23,10.7
edge_00156,node_0356,node_0357,line,220kV,line_23,24.5
edge_00157,node_0357,node_0358,line,220kV,line_23,34.95
edge_00158,node_0358,node_0192,line,220kV,line_23,109.43
edge_00159,node_0193,node_0359,line,220kV,line_24,65.67
edge_00160,node_0359,node_0360,line,220kV,line_24,3.39
edge_00161,node_0360,node_0361,line,220kV,line_24,25.98
edge_00162,node_0361,node_0362,line,220kV,line_24,12.77
edge_00163,node_0362,node_0363,line,220kV,line_24,44.12
edge_00164,node_0363,node_0364,line,220kV,line_24,20.52
edge_00165,node_0364,node_0365,line,220kV,line_24,15.59
edge_00166,node_0365,node_0366,line,220kV,line_24,20.99
edge_00167,node_0366,node_0367,line,220kV,line_24,25.18
edge_00168,node_0367,node_0368,line,220kV,line_24,32.95
edge_00169,node_0368,node_0193,line,220kV,line_24,74.73
edge_00170,node_0194,node_0369,line,220kV,line_25,91.09
edge_00171,node_0369,node_0370,line,220kV,line_25,159.03
edge_00172,node_0370,node_0362,line,220kV,line_25,4.09
edge_00173,node_0362,node_0361,line,220kV,line_25,12.77
edge_00174,node_0361,node_0360,line,220kV,line_25,25.98
edge_00175,node_0360,node_0359,line,220kV,line_25,3.39
edge_00176,node_0359,node_0193,line,220kV,line_25,65.67
edge_00177,node_0193,node_0371,line,220kV,line_25,10.99
edge_00178,node_0371,node_0372,line,220kV,line_25,35.82
edge_00179,node_0372,node_0373,line,220kV,line_25,18.18
edge_00180,node_0373,node_0374,line,220kV,line_25,69.87
edge_00181,node_0374,node_0194,line,220kV,line_25,31.68
edge_00182,node_0195,node_0375,line,220kV,line_26,77.86
edge_00183,node_0375,node_0376,line,220kV,line_26,21.96
edge_00184,node_0376,node_0377,line,220kV,line_26,23.14
edge_00185,node_0377,node_0378,line,220kV,line_26,86.22
edge_00186,node_0378,node_0379,line,220kV,line_26,28.99
edge_00187,node_0379,node_0380,line,220kV,line_26,14.09
edge_00188,node_0380,node_0195,line,220kV,line_26,75.97
edge_00189,node_0381,node_0382,line,220kV,line_27,73.71
edge_00190,node_0382,node_0383,line,220kV,line_27,33.16
edge_00191,node_0383,node_0384,line,220kV,line_27,11.51
edge_00192,node_0384,node_0385,line,220kV,line_27,73.72
edge_00193,node_0385,node_0381,line,220kV,line_27,44.68
edge_00194,node_0386,node_0387,line,220kV,line_28,10.92
edge_00195,node_0387,node_0388,line,220kV,line_28,24.82
edge_00196,node_0388,node_0389,line,220kV,line_28,57.2
edge_00197,node_0389,node_0390,line,220kV,line_28,31.21
edge_00198,node_0390,node_0386,line,220kV,line_28,47.38
edge_00199,node_0196,node_0391,line,220kV,line_29,7.15
edge_00200,node_0391,node_0392,line,220kV,line_29,8.46
edge_00201,node_0392,node_0393,line,220kV,line_29,34.15
edge_00202,node_0393,node_0394,line,220kV,line_29,25.67
edge_00203,node_0394,node_0395,line,220kV,line_29,28.91
edge_00204,node_0395,node_0396,line,220kV,line_29,46.42
edge_00205,node_0396,node_0196,line,220kV,line_29,71.24
edge_00206,node_0197,node_0397,line,220kV,line_30,112.13
edge_00207,node_0397,node_0398,line,220kV,line_30,39.9
edge_00208,node_0398,node_0399,line,220kV,line_30,10.33
edge_00209,node_0399,node_0400,line,220kV,line_30,19.79
edge_00210,node_0400,node_0401,line,220kV,line_30,19.38
edge_00211,node_0401,node_0402,line,220kV,line_30,12.68
edge_00212,node_0402,node_0403,line,220kV,line_30,215.03
edge_00213,node_0403,node_0404,line,220kV,line_30,162.3
edge_00214,node_0404,node_0405,line,220kV,line_30,82.94
edge_00215,node_0405,node_0406,line,220kV,line_30,37.59
edge_00216,node_0406,node_0197,line,220kV,line_30,255.26
edge_00217,node_0198,node_0407,line,220kV,line_31,78.1
edge_00218,node_0407,node_0408,line,220kV,line_31,15.27
